nom;categorie;description;image;fichier_source
Marché;Spectacles et événements;Epicerie casino toutes les semaines. De plus, une fois par mois, l'épicerie vrac itinérante Le bocal à roulettes est présente le mardi soir dans le village.;;0/09/13-09ebe787-6d2c-3b05-b94f-8fcc811f309b.json
Hôtel des Bains;Hébergement;L'Hôtel des Bains vous accueille dans une ambiance rétro, bistro et guinguette avec sa grande terrasse ombragée. Restauration traditionnelle : friture fine, grenouilles aux morilles, joue de porc braisée et terrine de foie gras maison à la truffe.;;0/09/13-09ed7b55-c3e3-39f9-b85e-f18e58c63034.json
Le Pétrin;Autres points d'intérêt;Le Pétrin, restaurant - pizzeria, vous accueille à Montagnat, à 10 minutes de Bourg-en-Bresse dans l'Ain (01).;;0/09/13-09ef62c3-95ac-3c29-8564-da5de2de6124.json
Brasserie la Coll'Inn;Restauration et gastronomie;Le restaurant La Coll’Inn est ouvert à tous, également aux clients extérieurs à l’hôtel du dimanche soir au vendredi midi. Les plats sont « fait maison » à base de produits frais et de saison. Une formule du jour est proposée tous les midis.;;0/09/13-09f40945-5ab9-337d-b202-9b6da6d35573.json
Greggo Pizza;Autres points d'intérêt;Pizzeria sur place ou à emporter.;;0/09/13-09f4531f-cd41-3709-80e7-41c1feed6ccd.json
Chapelle Saint-Hugues;Culture et patrimoine;"Cette chapelle de pèlerinage dédiée à Saint Hugues domine Châteauneuf-sur-Isère. Elle est située à l'emplacement d'un site occupé dès l'antiquité. 
Inaugurée en 1896, elle est de style néogothique.
Visible de l'extérieur.";;0/09/13-09f553f3-307f-3628-8515-1588518dd5f9.json
La table et l'ardoise - Restaurant de l'hôtel Cœur de Maurienne by Best Western;Restauration et gastronomie;L'hôtel Cœur de Maurienne by Best Western vous ouvre les portes de son restaurant bistronomique. Découvrez sa cuisine à base de produits frais provenant de circuits courts, valorisant le travail des producteurs, leurs savoirs et leurs valeurs.;;0/09/13-09f58c97-00af-3664-a4d9-f6312912b8ff.json
Tennis Pleaux;Sports et activités outdoor;Court de tennis extérieur Pleaux.;;0/09/13-09f59f5f-d775-3bca-9ad0-fed2b15414e7.json
Spa L'équilibre;Autres points d'intérêt;Le Spa L'équilibre propose une gamme de massages et soins visages en duo, en solo et pour les enfants avec les marques Phyt's et Cinq Mondes ainsi qu'un espace détente : bains à remous, sauna, hammam, hydrojets et balnéothérapie.;;0/09/13-09f7fdff-430c-3a74-88d9-cdff8746da7b.json
Espace Culturel La Traverse;Autres points d'intérêt;L'Espace La Traverse vous propose une programmation éclectique tout au long de l'année théâtre, concerts, cabaret musical, danse, spectacle jeunes public dans une salle de 300 places.;;0/09/13-09fa030a-c007-395f-a545-efc8a0b77261.json
Bibliothèque Municipale;Culture et patrimoine;La bibliothèque est située au centre du village, au dessus de l’arrêt de bus. Le bâtiment est accessible aux personnes handicapées.;;0/09/13-09ff375f-0a39-3109-ac73-574908fe3153.json
Eglise Saint-Pierre;Culture et patrimoine;Édifice roman, son clocher, sa tour d'accès, ses vitraux et ses gargouilles sculptées dans le tuf ou le trachyte ont été restaurés. À l'intérieur, deux tableaux de l'école espagnole et un Christ en croix en chêne du XVIIe siècle.;;0/0a/13-0a00a436-bb77-33b2-ac85-44227aa768bd.json
Grain D'Pain - Maréchal Juin;Autres points d'intérêt;"Graind'Pain Guillot est une marque de Boulangerie pâtisserie, viennoiserie dont les magasins sont situés à Bourg-en-Bresse dans l'Ain.
Spécialités :
- Tartes bressanes à la crème de Bresse AOP
- Baguette de Tradition Française
- Pavé Bio";;0/0a/13-0a03f388-d5bc-370e-b80d-f8b5a7ca8437.json
Parc animalier de la Grande Jeanne;Nature et détente;La Grande Jeanne est un parc s'étendant sur 10 500 m2, qui accueille deux espèces d'animaux non domestiques : 19 daims et 9 cerfs élaphes et une vingtaine de mouflons de Corse.;;0/0a/13-0a04f9a0-2099-3b04-8b59-65ad5633759f.json
Le Fantôme de l'Opéra;Autres points d'intérêt;Feutré et intimiste, spécialisé dans les cocktails, le Fantôme vous séduira avec sa large gamme d’alcools et spiritueux d'exception, ainsi qu'avec ses assiettes. Le tout, sur des airs de musique épousant sa liberté de ton.;;0/0a/13-0a0759e2-fb34-3a46-a4b9-c94f8d4828be.json
Le Grand Parc d'Andilly;Nature et détente;8ème plus grand parc à thème de France, le Grand Parc d'Andilly saura vous accueillir avec ses quatre univers qui rythment l'année.;;0/0a/13-0a07b0ef-c90f-3310-97cc-133af28a760b.json
Champ d'habit;Autres points d'intérêt;Gite d'étape & de séjour en Drôme Provençale en plein cœur du Parc des Baronnies entre Nyons & Serres, à côté de Rémuzat, à 4km de Rosans. Maison indépendante offrant confort, calme & sérénité dans un très bel environnement.;;0/0a/13-0a07cc9d-d7e1-3ff4-ac91-a21444db26be.json
Château de Saint-Augustin;Culture et patrimoine;"Cinq chambres d'hôtes au château de Saint-Augustin. 
D'époque Régence construit en briques polychromes entre le XVe et le XVIIIe siècle est l'un des joyaux de l'architecture bourbonnaise.";;0/0a/13-0a08beba-011c-3887-88af-34d59face50c.json
Restaurant Cacot Jeannette;Restauration et gastronomie;Carte élaborée à partir de recettes régionales. Plats et desserts faits maison à base de produits frais travaillés localement.;;0/0a/13-0a0afcbd-c195-3d05-b0c7-4ab39d380e87.json
Batsé Mussillon;Autres points d'intérêt;Bassins communautaires servaient aux habitants des hameaux comme points d'eau courante, voire pour y laver leur linge.;;0/0a/13-0a0bec70-f3a4-36f1-a769-3d7610c5a832.json
Hôtel le Vivarais;Hébergement;Hôtel traditionnel de 6 chambres. Restaurant sur place.;;0/0a/13-0a0f7349-8a69-39f4-917d-798827a690d0.json
Ascot Bar;Restauration et gastronomie;"L’ASCOT BAR est l’endroit feutré de l’hôtel dans lequel les clients ont plaisir à se retrouver pour passer un moment agréable. 
L’ambiance y est très particulière grâce à une décoration de style anglais.";;0/0a/13-0a0fbe8c-95e5-36e3-85a6-85f2aa3db51d.json
Tremplins olympiques du Claret;Autres points d'intérêt;A_GENERER_VIA_IA;;0/0a/13-0a102968-0439-36f8-b413-aad3ef22baf4.json
Hôtel**** La Bastide d'Iris;Hébergement;Découvrez l'Hôtel**** La Bastide d'Iris à Vagnas, où confort et nature se rencontrent. Avec une gamme complète de services allant des massages au Wi-Fi gratuit, Profitez également de nos installations adaptées et de notre piscine chauffée.;;0/0a/13-0a103aff-c936-3bcc-b3c6-ac8266a780f0.json
Bar des Voyageurs;Restauration et gastronomie;"Cuisine avec des produits régionaux
Accueil chaleureux et sympathique";;0/0a/13-0a119211-ac89-3466-8047-813c00aa82e5.json
Eglise de Clochemerle;Culture et patrimoine;Venez découvrir l'église en face de laquelle s'est érigée la pissotière de la discorde! Eglise romane du XIIe siècle au style clunisien. Des bandes lombardes ornent encore le clocher.;;0/0a/13-0a12514a-1e69-32f6-b6f2-80559bc4f7e2.json
Porte Saint Laurent;Autres points d'intérêt;Seconde porte de la ville préservée parmi les cinq portes que comptait l'enceinte du XVIIe, la Porte Saint Laurent fut édifiée en 1615 et permettait de gagner la Savoie par la rive droite de l'Isère dans la vallée du Grésivaudan.;;0/0a/13-0a146fd9-5dd3-3a33-ac40-5709e86418d2.json
Aux Enfants Terribles;Autres points d'intérêt;"Chalet - Restaurant d'altitude. Accès piéton arrivée du télésiège de Vallandry. Ouvert 7/7. Cuisine traditionnelle.
Avec soirées sur réservation et descente de nuit en ski (encadrée)";;0/0a/13-0a16637b-9f95-3da1-94f6-d0e63ebbe4e0.json
Médiathèque municipale de Saint-Flour;Culture et patrimoine;Médiathèque municipale dans le centre historique de Saint-Flour.;;0/0a/13-0a178a04-e80d-3949-9316-6cbfab8e642e.json
La Petite Auberge de Flo;Hébergement;Auberge et bar, avec produits du terroir à Saint-Bonnet-les-Oules !;;0/0a/13-0a1a6b12-c7da-3131-920d-506134a42c0a.json
5ème Marché de Noël;Spectacles et événements;Marché de Noël organisé par le Comité des Fêtes, le Club des Aînés et l'Association sportive.;;0/0a/13-0a1a821c-0061-3ea6-8791-6c12d2578fd9.json
L'Institution;Autres points d'intérêt;Dans un cadre baroque et cosy, banquettes de velours et moquette au sol, c’est le 1er établissement signé Jacques Garcia à Lyon !;;0/0a/13-0a1e3717-cd0d-393b-afd5-fceb1846ce40.json
Terrain de tennis de Super-Besse;Sports et activités outdoor;Terrain de tennis;;0/0a/13-0a2086fc-a6a6-3d7f-b696-9f0e82166724.json
City-Stade;Autres points d'intérêt;City-Stade :basket, foot, volley....pour toute la famille.;;0/0a/13-0a2163d2-ad05-3b2a-89dc-a845a57dfc71.json
Ibis Lyon Gerland Musée des Confluences;Culture et patrimoine;Face à la Halle Tony Garnier, à deux pas du Palais des Sports, du Matmut Stadium et du Musée des Confluences, l'hôtel Ibis Lyon Gerland Musée des Confluences est une étape idéale pour vos déplacements d'affaires ou de loisirs.;;0/0a/13-0a217e02-d0c9-3ebf-a2ab-252ee8c44645.json
CARPE DIEM Le Prégentil;Autres points d'intérêt;Le Gîte le Prégentil 3* est un appartement confortable de 32 m², au rez-de-chaussée de la maison principale Chalet Carpe Diem. Il se trouve situé sur un terrain de 7000 m2 à 200m du centre de Bourg d'Oisans et en face du Supermarché Intermarché.;;0/0a/13-0a220ca6-e612-371f-909b-61598167d00e.json
Le village des Étoiles;Autres points d'intérêt;Situé à la station des Plans d'Hotonnes, le Village des Étoiles est destiné à faire découvrir l'astronomie au plus grand nombre.;;0/0a/13-0a249b5d-6e56-321f-9cbb-715c92fa8dad.json
VVF Villages Tence;Autres points d'intérêt;"Une destination avec de magnifiques paysages, très riche en arts et traditions. Découvrez un paradis pour les randonneurs, cyclo et vététistes où les enfants goûtent avec délice aux joies de la ferme. Labellisé ""Famille+"".";;0/0a/13-0a2549e6-9665-371c-8572-6eccf89baea8.json
Wine and Ride Condrieu;Autres points d'intérêt;Partez explorer les vignobles et villages de caractère à vélo ! Wine and Ride c'est une équipe de passionnés qui vous emmène à la rencontre des artisans, vignerons et producteurs locaux du territoire, au départ de Condrieu.;;0/0a/13-0a275e0a-a54c-32ec-9944-0902387c0989.json
Eleonora Deveze - Musique classique;Spectacles et événements;Retrouvez en concert la soprano Eleanora Deveze accompagnée au piano par Frédéric Isoletta à l’Église de Manthes.;;0/0a/13-0a294a32-b44c-3daa-bbd2-46eec27792f6.json
Galaxy Bowling;Sports et activités outdoor;"Le bowling de Flaine vous propose 6 pistes, dont une spécialement adaptée aux enfants dès 2 ans et demi.
Accueil de groupes. Bar, brasserie, snack. 
Salle de jeux, billard, simulateurs, écran géant et retransmission des événements sportifs.";;0/0a/13-0a2a1b3b-dc53-3e9a-b0c2-f601b098c68d.json
Les rives de l'Ozon;Autres points d'intérêt;"Une balade entre la vallée de l’Ozon, sauvage et encaissée, le plateau et les coteaux de Saint-Joseph avec vues sur la vallée du Rhône et les Alpes.
A découvrir dans le guide en vente à l'office de tourisme et l'application les ""échappées inspirées"".";;0/0a/13-0a2bba82-905b-3034-a43e-29ad7ecffba6.json
Jardin botanique de la Charme;Nature et détente;Partez à la découverte de plus de 3'000 espèces de plantes exotiques et indigènes rares et protégées.;;0/0a/13-0a2cbb8a-407d-389c-a6fb-a4a497c3dda0.json
Gymnase La Lionchère;Autres points d'intérêt;Complexe sportif, salle de spectacle, salle polyvalente;;0/0a/13-0a2d5aa3-4613-3b71-8beb-ca4af321a892.json
Aire de jeux pour enfants;Services et activités encadrées;A_GENERER_VIA_IA;;0/0a/13-0a2eef3d-0bfe-3819-a0ea-7adfa19840df.json
Vinezac : village de caractère;Autres points d'intérêt;Village fortifié qui recèle de nombreuses curiosités historiques: 3 châteaux: château Julien au donjon quadrangulaire du 12e château de Charbonnel à fenêtres à meneaux et vestiges château de la Motte, une église romane du 12e, des croix, ruelles étroites.;;0/0a/13-0a2fcf7a-f17b-3c93-a042-2e84ef5d5d68.json
L'église St-Jean-Baptiste;Culture et patrimoine;L'église du Reposoir possède le même architecte que celle de Saint-Sigismond : le curé Rouge. Édifiée en 1849 sur un plan en croix grecque, elle ne possédait pas de clocher, faute de moyen.;;0/0a/13-0a3348c6-acf0-327c-8ba1-d820a7b033d5.json
Table d'orientation de Virieu-le-Grand;Restauration et gastronomie;"La table d'orientation, située sur la route touristique d'Hauteville offre un panorama magnifique sur la chaîne des Alpes, le Mont-Blanc, le Grand Colombier et la Croix du Nivollet.
Altitude : 272 m";;0/0a/13-0a33e7db-4cbd-371f-830d-69ef6fa31517.json
Rapido'Verto;Autres points d'intérêt;"Rapido Verto vous propose des pizzas, burgers et du snacking dans une ambiance chaleureuse et décontractée.
Nos pizzas sont artisanales, et la pates maison est pétrie sur place.";;0/0a/13-0a398bae-3f76-3bdc-9ac4-89c51a41af78.json
Bureau de la Montagne;Nature et détente;A_GENERER_VIA_IA;;0/0a/13-0a3a752a-bdfd-38c4-9b2e-b295346393c0.json
Mairie de Crémieu;Autres points d'intérêt;Depuis 1791, elle est installée dans l'ancien couvent des Ermites de Saint Augustin.;;0/0a/13-0a3d1147-4276-3399-98e1-259f98d45776.json
Hôtel Au Coin du Feu / Chilly Powder;Hébergement;"Hôtel-restaurant 4 étoiles (16 chambres)
Très bel hôtel, situé aux pieds des pistes d'Avoriaz et du téléphérique des Prodains.";;0/0a/13-0a405b90-9279-3a3b-9af3-f77fdef71180.json
"Chambre d'hôtes ""Chez Amélie""";Hébergement;Située à proximité du cœur de la cité médiévale de Crémieu, dans un environnement calme, la chambre d’hôtes Chez Amélie, est équipée d'une piscine, d'une terrasse, d'un jardin et d'un local vélo sécurisé pour les cyclotouristes.;;0/0a/13-0a409ad2-711b-3d0c-b8c7-646d0663de5e.json
Lac des Petits Robins;Nature et détente;Les 2 lacs des Petits Robins sont des lacs de pêche de 2ème catégorie, situé en bordure du Rhône, équipés d'un accès pour personnes à mobilité réduite (PMR) avec ponton accessible PMR. On y trouve des tables de pique-nique dont l'une est accessible PMR.;;0/0a/13-0a42f382-f046-3d71-81d3-abaf56a5cbac.json
Chalet Dans l'Pentu;Hébergement;"-Rez inférieur : 
1 chambre : 1 lit double 160*200
1 chambre : 2 lits simples superposés 90*200
1 chambre : 2x 2 lits simples superposés 90*200 
1 salle de bain
1 WC
1 salle de jeux : baby-foot et PS4
Local skis et chaussures
Salle de détente avec sauna.";;0/0a/13-0a43a942-a5d1-31d6-b3c7-40d7c91d6156.json
Diner - spectacle au Casino - Abbamania chanté par Magic Voices;Spectacles et événements;1H30 de tous les tubes du groupe ABBA chantés en direct et en costumes.;;0/0a/13-0a44578d-2df5-3ea3-a5f8-f3558b3d6642.json
Pizza Montoiz;Autres points d'intérêt;Pizza à emporter - Situé au centre de la drôme, au cœur du village de Montoison 26800 .;;0/0a/13-0a4464d1-7b80-3e4f-af9f-d811c0464cb8.json
Salle Mont Joly;Autres points d'intérêt;Salle de 114 m2, ouvert toute l'année;;0/0a/13-0a44e6bc-9bcb-3a6a-ac27-f688308e308b.json
Fauvette;Autres points d'intérêt;Exposition plein Sud, face à la vallée de Thônes, ce chalet offre le confort de 3 gites.;;0/0a/13-0a467b51-346a-317d-8867-b885af95841c.json
Escape Game : Esprit es-tu là ?;Autres points d'intérêt;"Esprit es-tu là ?
Tentez de libérer l'esprit qui hante le château….
De 2 à 4  joueurs.
À partir de 15 ans.";;0/0a/13-0a4945a7-4f2a-3e77-9545-eef6e59693cc.json
La Marmotte Gourmande;Autres points d'intérêt;Depuis 1994, La Marmotte Gourmande vous régale au centre-ville de Roanne. Elle vous propose une cuisine traditionnelle et savoyarde (grenouilles et moules à partir d'avril).;;0/0a/13-0a4afc55-0434-32fa-b5a8-3a3fbdb408d0.json
Village de Chambles;Autres points d'intérêt;Située au milieu des gorges de la Loire, sur la rive gauche du fleuve, la commune de Chambles est un des sites les plus connus et attirants du territoire. Ce petit bourg a su préserver son caractère féodal qui lui donne toute son originalité.;;0/0a/13-0a4b0bf9-8999-3d04-aa52-f9bdb946546b.json
Médiathèque municipale François-Désarnod;Culture et patrimoine;Espace culturel convivial ouvert toute l’année à tous les publics. Les abonnés peuvent y emprunter des documents. La consultation sur place est libre et gratuite. Des animations sont régulièrement organisées en partenariat avec l'association Criou Livres.;;0/0a/13-0a4d5032-0b95-3fac-a947-ebed669a494a.json
La Table d'Alexandre;Restauration et gastronomie;Restauration traditionnelle en centre-ville de Clermont-Ferrand.;;0/0a/13-0a4f8959-9372-35cb-8465-d59ee3c15a02.json
City stade;Autres points d'intérêt;City stade permettant la pratique du basket, du hand et du foot;;0/0a/13-0a502d8a-e22e-348f-8942-79e5754cdee8.json
Parc du Grand Clos;Nature et détente;Le Grand Clos est un parc municipal de 23 ha. Avec ses 6 kms de sentiers, son coin pique-nique, son étang, ce parc constitue un lieu de promenade familiale apprécié et constitue l'un des points de départ de plusieurs circuits de randonnée.;;0/0a/13-0a5102d8-a681-3676-a9cb-242041560349.json
Circuit découverte de Challes les Eaux;Nature et détente;Cette balade  accessible à tous, vous permettra de découvrir quelques édifices historiques de Challes-les-Eaux : Casino, parc de Triviers, Thermes, château des Comtes de Challes, aérodrome, lavoir, église.;;0/0a/13-0a51b0fc-a88f-3e51-a446-4ddf1145566e.json
Fête des guides 2025;Spectacles et événements;Créée en 1924, dans le but d’alimenter financièrement la Caisse de secours, la Fête des Guides est devenue un événement incontournable de la Vallée de Chamonix-Mont-Blanc.;;0/0a/13-0a55a97c-5572-326f-b162-5e8d55da52e9.json
Truyère Evasion;Autres points d'intérêt;“Truyère Évasion”, structure de loisirs sportifs de pleine nature, encadrés par des diplômés d’État, vous propose : parcours aventure, escalade, randonnée aquatique, canyoning, via ferrata et location de VTT à assistance électrique.;;0/0a/13-0a581104-c459-30b7-9996-eb25f25148ab.json
Bibliothèque de Saint-Béron;Culture et patrimoine;"Une équipe dynamique vous accueillera dans cette petite bibliothèque agréable où vous attendent plus de 2 500 livres pour les petits et les grands !
Cette bibliothèque propose régulièrement des animations pour tous les publics.";;0/0a/13-0a5a4f18-e188-31a9-a147-4047f42d7760.json
Circuit VTTAE n°21 (bleu) Cheminées Sarrasines & Etangs bressans;Nature et détente;L’incontournable de la Bresse, une balade à la rencontre des fermes bressanes à cheminées sarrasines, pépites de cette région et monuments uniques !;;0/0a/13-0a5a84f7-9c48-3de3-9b26-d589162f31be.json
Eglise Saint Laurent;Culture et patrimoine;Consacrée en 1685 et agrandie au XIX° siècle, elle offre un chœur du XII° siècle, divisé en deux travées à croisées d'ogives, des colonnes à feuillages, un ensemble de statues du XVIII° et XIX° siècles, une chaire classée provenant de l'Abbaye de Tamié.;;0/0a/13-0a5c2478-32c0-3a86-8c67-ad06a6b9291b.json
Notre-Dame-des-Bois;Nature et détente;Les anciennes familles de la propriété Pradel sont à l'origine de la pose de la statue Notre-Dame-des-Bois afin d'assurer la protection du village de Vignieu dans les années 1800. Une procession se rend à la Vierge le 15 août de chaque année.;;0/0a/13-0a5dc591-6470-30e4-9b13-488c7f7af6f5.json
Cydem Kebab;Autres points d'intérêt;Restauration rapide de kebab, sandwich...;;0/0a/13-0a5e3fe3-3fa0-3d47-b0f3-21c55e9a8e54.json
Tsf : les Années 30 - Jeux Électroniques : les années 30;Autres points d'intérêt;Évolution historique technique et esthétique de la TSF de 1925 à nos jours.;;0/0a/13-0a60149e-fa28-38b0-af76-577f6fe9768f.json
Location sur plan d'eau - Base nautique Pont de Chambonas;Hébergement;La base nautique vous propose la location sur le plan d’eau du pont de Chambonas de pédalo, canoë, kayak, paddle.;;0/0a/13-0a602cca-e56d-320c-bf45-f1dbe994ec5c.json
Le Kôsa Krûta & Le Pré du Kôsa;Autres points d'intérêt;"Vente à emporter et restauration sur place au Pré du Kôsa,
Burgers, sandwiches chauds et froids, tartares, salades, crêpes, glaces, etc.";;0/0a/13-0a618b7c-fd4a-3c69-9166-277731b0fc5e.json
Marché de Belmont-de-la-Loire;Spectacles et événements;"Tous les dimanches matins place de l'église.
Un primeur.";;0/0a/13-0a63947b-1257-3d5a-943d-f4893c11e336.json
Stade de football;Sports et activités outdoor;Stade éclairé à côté de la piscine la Perle d'Eau, parking.;;0/0a/13-0a63f94e-0722-35fe-9b42-de7ed9134914.json
Haras du Brin d'Amour;Autres points d'intérêt;Dans la plaine de la Bièvre, à proximité de la Côte-St-André, à mi-chemin entre Lyon et Grenoble, le Haras du Brin d’Amour vous propose sur une exploitation de 18ha, un centre équestre et un élevage de chevaux et poneys.;;0/0a/13-0a6473ec-4e6a-36e2-aa1e-8a20a7a41a21.json
"Le Duo Niséïs ""Sweet lament""";Autres points d'intérêt;Le Duo Niséïs propose une escapade dans les iles britanniques à travers la nostalgie de ses chants anciens et traditionnels.;;0/0a/13-0a64ced3-63f0-3d4c-a76c-0cc60c9b78cf.json
Camping du Haut-Rhône;Hébergement;"Cadre naturel et arboré au bord du Rhône. Calme et ambiance 
conviviale. Label Vélo, Via Rhôna et randonneurs 
Compostelle. Ville et commerces à proximité. Accueil groupes en demi-pension ou gestion libre.";;0/0a/13-0a676322-3794-3d3f-84a9-acd69c735bbe.json
Restauration rapide : L'Aire des Vérités;Services et activités encadrées;De passage près de l'Aire des Vérités ou de Montluçon ? Venez vous restaurer à petits prix, rapidement ou en prenant votre temps, dans un joli cadre accueillant et agréable. Ou bien à emporter...!;;0/0a/13-0a68049d-976f-3928-a51d-6bf68701572c.json
Lac de Tueda;Nature et détente;A l'entrée de la Réserve naturelle aux portes du Parc National de la Vanoise, le lac est bordé de pins cembro formant une des plus belles cembraies des Alpes.;;0/0a/13-0a683911-4b49-3b44-8571-0c64cf1607ae.json
Eglise Saint Martin;Culture et patrimoine;"Église romane du XIIème siècle appartenant au style roman ""mauriacois"" qui présente un chevet et une tour typiquement romans classés à l'inventaire des Monuments Historiques ainsi que des vitraux remarquables qui ont été restaurés en 2022.";;0/0a/13-0a68979d-58cc-36b2-a589-f99208c8c44f.json
Tennis;Sports et activités outdoor;4 courts extérieurs éclairés (de 8h à 22h), des initiateurs de l'école de tennis encadrent (de septembre à juin).;;0/0a/13-0a69472c-0d30-3f33-b26a-3c5ca2489a93.json
Restaurant La Fine Fourchette;Restauration et gastronomie;Le restaurant gastronomique La Fine Fourchette, situé aux portes de l’Ain, entre l’Isère et la Savoie, vous propose un univers culinaire fait de produits du terroir à travers les saisons.;;0/0a/13-0a6aec8e-d990-37dc-ae21-94b3a22bdd64.json
Centre Socio-Culturel;Autres points d'intérêt;Espace sportif de type salle polyvalente, des fêtes. Il dispose d'un sol en carrelage. La surface d'évolution est de 300 m².;;0/0a/13-0a6c4e1d-e9c3-3351-a203-c119213c95dd.json
La Glycine;Autres points d'intérêt;Situé à la Sône, joli petit village au pied du Vercors, et à -1 km de la Véloroute V63, le meublé La Glycine vous accueille pour une halte d’une soirée ou pour un séjour.;;0/0a/13-0a6cfdf5-3de0-31e0-99d0-cf90249a178e.json
Café Perl;Restauration et gastronomie;La brasserie peut vous proposer un café, une glace ou encore une pause déjeuner sur la belle terrasse sous les arbres, chauffée l'hiver.;;0/0a/13-0a6d1aa1-d315-3fb1-81b7-8aeb9cb5f602.json
N°04 Le Canier VTTAE - Bleu;Autres points d'intérêt;"Cet itinéraire propose à la fois une descente ludique et un retour permettant de tester les différentes techniques du VTT. Parcours n°4, balisé en bleu.
Départ : Camping des Cordeliers Pierre-Châtel";;0/0a/13-0a6df3bd-5196-3908-a632-e72ff5669096.json
Meublé Le Fil Bleu;Autres points d'intérêt;"T2 de 46m2 (classé 3 ☆☆☆) dans une jolie résidence de 1930.

Ce bel appartement, situé à deux pas de l'hypercentre et de l'hôpital, vous accueille avec tout le confort pour votre séjour à Montluçon.";;0/0a/13-0a6fc57f-8539-300f-a547-ecf4c5a8c370.json
Statue Notre-Dame de France;Autres points d'intérêt;A quelques minutes à pied du centre ville, la statue monumentale de Notre Dame de France constitue une prouesse technique étonnante. Elle est réalisée en fonte de fer et domine la ville du Puy-en-Velay depuis 1860.;;0/0a/13-0a712253-313e-331d-991e-5f23c9f80514.json
Oskar Hôtel;Hébergement;Le Oskar Hotel a été entièrement rénové et propose des chambres élégantes et contemporaines.;;0/0a/13-0a767114-ac47-3e8c-aab4-4274d5623282.json
Hôtel-Restaurant L'Auberge du Rond Gardien;Hébergement;"L'auberge du rond gardien est situé au coeur de la forêt de Tronçais.
La salle de restaurant panoramique et la terrasse permettent de profiter pleinement de la nature.";;0/0a/13-0a775806-e6ed-3cbc-ab8c-9050119aeaba.json
L'Arbre Bleu;Nature et détente;Un restaurant pas comme les autres…Pour le déjeuner ou le diner, entre amis ou entre collègues, profitez d'un moment gourmand pour tout type d'occasion.;;0/0a/13-0a78d9f8-a1d2-3228-9e44-10bcb0657b73.json
Les Carrés jardin - Location de salle;Hébergement;Que vous soyez une entreprise, une association, une institution ou tout autre groupe opérant sur le territoire, les Carrés Jardin vous accueillent dans une ex-jachère agricole transformée en un espace multi-fonctions.;;0/0a/13-0a794255-eceb-3e2a-877f-e1fecea9416c.json
La Gazelle;Autres points d'intérêt;Cuisine familiale du terroir : truffade, chou farci, coq au vin, raclette.;;0/0a/13-0a7a3767-5f9a-3f0d-8dcd-9eebfca518a5.json
Aire de stationnement Camping-car;Services et activités encadrées;Parking toléré jour/nuit, stationnement gratuit face au centre de secours. 50 emplacements dans un grand champ à proximité immédiate d'un étang.;;0/0a/13-0a7b2870-99f3-3d81-9348-8af127f9eb5c.json
Swin golf du Château de la Salle;Culture et patrimoine;"Le Château de la Salle vous propose son Golf composé de : un pitch & putt de 3 trous avec 9 départs ; un practice avec filet ; un swin golf de 6 trous (parfait pour apprendre) et un putting green.";;0/0a/13-0a7e486a-4ec8-354e-ae0b-b338954a3fda.json
Enduro VTT : Rouge Prarion - Les Houches - Sauce Myrtilles;Sports et activités outdoor;Testez nos pistes VTT !;;0/0a/13-0a7fa590-5146-3b79-ac62-6c997e3e12e2.json
Terrains de pétanque du Petit Châtel;Autres points d'intérêt;2 terrains à votre disposition.;;0/0a/13-0a8009dc-6ddc-362a-a0b4-34ce3c5be053.json
O Lac - Espace évènementiel;Nature et détente;Situé en bordure du lac D'Aiguille et entouré d’un grand parc arboré, ce lieu est propice à l’organisation de tous types d’événements : salons, congrès, lancements de produits, séminaires, soirées festives … Nous proposons également une saison culturelle;;0/0a/13-0a80517d-7494-3a4b-a63e-faff824f4073.json
Ibis budget Clermont-Fd Sud - Aubière;Autres points d'intérêt;Situé à environ 3 km au sud-est du centre de Clermont-Ferrand, cet hôtel de chaîne bénéficie d’un accès aisé par les axes autoroutiers avec une réception physique 24h/24.;;0/0a/13-0a80bf08-99b8-33fb-8d05-841aec631367.json
Tours d'Arras;Autres points d'intérêt;Vestige du château d'Arras qui, à l'époque féodal, fut partagé en 2 co-seigneuries: la Tour Blanche dite de Soubise et la Tour Brune dite de Jovyac. Table de lecture au pied de la tour. Visites commentées pour les groupe sur demande.;;0/0a/13-0a86051f-cf22-3777-82cc-5e9956ec38b1.json
Pizzeria Pisolino;Restauration et gastronomie;"Retrouvez à valence une véritable pizzeria napolitaine !
"" Vieni, mangi, fai un pisolino """;;0/0a/13-0a86b6de-e4ce-373a-b3d8-adc6d87f3fea.json
Eglise Ste Marie-Madeleine;Culture et patrimoine;La Chapelle Sainte-Marie-Madeleine, attestée à la fin du 14ème siècle est devenue église paroissiale. Détruite puis rebâtie plusieurs fois au cours des 15ème et 16ème siècle, l'église fut relevée de ses ruines en 1605.;;0/0a/13-0a88e9b0-44a1-3237-96d2-659f2df081a7.json
Jeannot Select Ambience;Autres points d'intérêt;"Jeannot est un lieu à la fois premium et convivial.
Ce nouveau lieu de vie a pour but de devenir l’afterwork de référence de l’agglomération. Organisation régulière de soirées à thèmes : DJ, Dégustation de vins, Collaboration avec artistes, marques, etc..";;0/0a/13-0a8b30e5-b5aa-3d8d-b08f-eb2af89d19c1.json
